epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8898,1.23359,3.26033,1.57897,0.00333,1,0.59325,0.20246,1.29555,3.88509,1.76061,4e-05,4e-05,4e-05
2,28.2541,1.2182,2.66662,1.46816,0.00333,1,0.77223,0.3576,1.15189,3.82888,1.65446,9.802e-05,9.802e-05,9.802e-05
3,32.0099,1.44484,2.81884,1.80458,0.00333,1,0.85275,0.40242,1.07723,3.77073,1.60066,0.000153664,0.000153664,0.000153664
4,35.8254,1.02897,2.41498,1.38326,0.00333,1,0.89115,0.48322,1.10279,3.53443,1.62175,0.000206932,0.000206932,0.000206932
5,40.1146,1.11084,2.30729,1.55422,0.00333,1,0.85894,0.43809,0.95769,3.58087,1.64421,0.000257824,0.000257824,0.000257824
6,44.4713,1.04532,2.37496,1.39934,0.00333,1,0.68761,0.28165,1.21535,3.57374,1.91621,0.00030634,0.00030634,0.00030634
7,49.2673,1.31968,2.1673,1.52821,0.003,0.9,0.70158,0.27113,1.55366,3.72344,2.293,0.00035248,0.00035248,0.00035248
8,56.4154,1.12376,1.99578,1.57564,0.00333,1,0.53163,0.20517,1.72215,4.02769,2.50429,0.000396244,0.000396244,0.000396244
9,67.5006,0.93444,1.84622,1.46046,0.00333,1,0.53163,0.20517,1.72215,4.02769,2.50429,0.000437632,0.000437632,0.000437632
10,78.9869,0.96797,1.59604,1.35258,0.00333,1,0.48382,0.2023,1.80267,4.04937,2.80747,0.000476644,0.000476644,0.000476644
11,89.6384,1.10733,1.80388,1.44139,0.00333,1,0.48382,0.2023,1.80267,4.04937,2.80747,0.00051328,0.00051328,0.00051328
12,99.8838,1.20185,1.52552,1.55815,0.00333,1,0.75734,0.38709,0.97777,3.41526,1.6977,0.00054754,0.00054754,0.00054754
13,109.136,0.92062,1.55285,1.28306,0.00333,1,0.75734,0.38709,0.97777,3.41526,1.6977,0.000579424,0.000579424,0.000579424
14,113.93,0.82545,1.54571,1.2407,1,0.2462,0.89819,0.55833,0.82102,3.19513,1.46347,0.000608932,0.000608932,0.000608932
15,117.693,0.77639,1.4684,1.20229,1,0.2462,0.89819,0.55833,0.82102,3.19513,1.46347,0.000636064,0.000636064,0.000636064
16,121.316,0.77573,1.41077,1.16741,1,0.2462,0.89819,0.55833,0.82102,3.19513,1.46347,0.00066082,0.00066082,0.00066082
17,124.948,0.86331,1.7778,1.26028,1,0.59233,0.93056,0.70083,0.80195,2.47756,1.37986,0.0006832,0.0006832,0.0006832
